verkoop;Start online veiling;Sluiting  online veiling;Afhalen van t/m 
2021-0007;Maandag 5 juli 8:30 uur;Donderdag 8 juli 10:00 uur;12 juli t/m 16 juli
2021-0017;Maandag 19 juli 8:30 uur;Donderdag 22 juli 10:00 uur;26 juli t/m 30 juli
2021-0008;Maandag 2 augustus 8:30 uur;Donderdag 5 augustus 10:00 uur;9 augustus t/m 13 augustus
2021-0801;Maandag 2 augustus 8:30 uur;Donderdag 5 augustus 10:00 uur;9 augustus t/m 13 augustus
2021-0018;Maandag 16 augustus 8:30 uur;Donderdag 19 augustus 10:00 uur;23 augustus t/m 27 augustus
2021-0009;Maandag 6 september 8:30 uur;Donderdag 9 september 10:00 uur;13 september t/m 17 september
2021-0901;Maandag 6 september 8:30 uur;Donderdag 9 september 10:00 uur;13 september t/m 17 september
2021-0019;Maandag 20 september 8:30 uur;Donderdag 23 september 10:00 uur;27 september t/m 1 oktober
2021-0010;Maandag 4 oktober 8:30 uur;Donderdag 7 oktober 10:00 uur;11 oktober t/m 15 oktober
2021-1001;Maandag 4 oktober 8:30 uur;Donderdag 7 oktober 10:00 uur;11 oktober t/m 15 oktober
2021-0020;Maandag 18 oktober 8:30 uur;Donderdag 21 oktober 10:00 uur;25 oktober t/m 29 oktober
2021-0011;Maandag 1 november 8:30 uur;Donderdag 4 november 10:00 uur;8 november t/m 12 november
2021-1101;Maandag 1 november 8:30 uur;Donderdag 4 november 10:00 uur;8 november t/m 12 november
2021-0021;Maandag 15 november 8:30 uur;Donderdag 18 november 10:00 uur;22 november t/m 26 november
2021-0012;Maandag 6 december 8:30 uur;Donderdag 9 december 10:00 uur;13 december t/m 17 december
2021-1201;Maandag 6 december 8:30 uur;Donderdag 9 december 10:00 uur;13 december t/m 17 december
2021-0022;Maandag 20 december 8:30 uur;Donderdag 23 december 10:00 uur;27 december t/m 31 december
2022-0001;Maandag 3 januari 8:30 uur;Donderdag 6 januari 10:00 uur;10 januari t/m 14 januari
2022-0101;Maandag 3 januari 8:30 uur;Donderdag 6 januari 10:00 uur;10 januari t/m 14 januari
2022-0002;Maandag 17 januari 8:30 uur;Donderdag 20 januari 10:00 uur;24 januari t/m 18 januari
