Verkoop;Start online veiling;Sluiting online veiling;Afhalen van t/m
2023-0002;16 januari 8:30 uur;19 januari 10:00 uur;23 januari t/m 27 januari
2023-0003;6 februari 8:30 uur;9 februari 10:00 uur;13 februari t/m 17 februari
2023-0201;6 februari 8:30 uur;9 februari 10:00 uur;13 februari t/m 17 februari
2023-0004;20 februari 8:30 uur;23 februari 10:00 uur;27 februari t/m 3 maart
2023-0005;6 maart 8:30 uur;9 maart 10:00 uur;13 maart t/m 17 maart
2023-0301;6 maart 8:30 uur;9 maart 10:00 uur;13 maart t/m 17 maart
2023-0006;20 maart 8:30 uur;23 maart 10:00 uur;27 maart t/m 31 maart
2023-0007;3 april 8:30 uur;6 april 10:00 uur;11 t/m 14 april + 17 april
2023-0401;3 april 8:30 uur;6 april 10:00 uur;11 t/m 14 april + 17 april
2023-0008;17 april 8:30 uur;20 april 10:00 uur;24 t/m26 april, 28 april, 1 mei
2023-0009;1 mei 8:30 uur;4 mei 10:00 uur;8 t/m 12 mei
2023-0501;1 mei 8:30 uur;4 mei 10:00 uur;8 t/m 12 mei
2023-0010;22 mei 8:30 uur;25 mei 10:00 uur;30, 31 mei + 1, 2 en 5 juni
2023-0011;5 juni 8:30 uur;8 juni 10:00 uur;12 t/m 16 juni
2023-0601;5 juni 8:30 uur;8 juni 10:00 uur;12 t/m 16 juni
2023-0012;19 juni 8:30 uur;22 juni 10:00 uur;26 t/m 30 juni
2023-0013;3 juli 8:30 uur;6 juli 10:00 uur;10 t/m 14 juli
2023-0701;3 juli 8:30 uur;6 juli 10:00 uur;10 t/m 14 juli
2023-0014;17 juli 8:30 uur;20 juli 10:00 uur;24 t/m 28 juli
2023-0015;7 augustus 8:30 uur;10 augustus 10:00 uur;14 t/m 18 augustus
2023-0801;7 augustus 8:30 uur;10 augustus 10:00 uur;14 t/m 18 augustus
2023-0016;21 augustus 8:30 uur;24 augustus 10:00 uur;28 t/m 31 augustus + 1 september
2023-0017;4 september 8:30 uur;7 september 10:00 uur;11 t/m 15 september
2023-0901;4 september 8:30 uur;7 september 10:00 uur;11 t/m 15 september
2023-0018;18 september 8:30 uur;21 september 10:00 uur;25 t/m 29 september
2023-0019;2 oktober 8:30 uur;5 oktober 10:00 uur;9 t/m 13 oktober
2023-1001;2 oktober 8:30 uur;5 oktober 10:00 uur;9 t/m 13 oktober
2023-0020;16 oktober 8:30 uur;19 oktober 10:00 uur;23 t/m 27 oktober
2023-0021;6 november 8:30 uur;9 november 10:00 uur;13 t/m 17 november
2023-1101;6 november 8:30 uur;9 november 10:00 uur;13 t/m 17 november
2023-0022;20 november 8:30 uur;23 november 10:00 uur;27 t/m 30 november + 1 december
2023-0023;4 december 8:30 uur;7 december 10:00 uur;11 t/m 15 december
2023-1201;4 december 8:30 uur;7 december 10:00 uur;11 t/m 15 december
2023-0024;18 december 8:30 uur;21 december 10:00 uur;27 t/m 29 december + 2 en 3 januari
2024-0001;8 januari 8:30 uur;11 januari 10:00 uur;15 t/m 19 januari
2024-0101;8 januari 8:30 uur;11 januari 10:00 uur;15 t/m 19 januari
2024-0002;22 januari 8:30 uur;25 januari 10:00 uur;29 t/m 31 januari + 1 en 2 februari
2024-0003;5 februari 8:30 uur;8 februari 10:00 uur;12 t/m 16 februari
2024-0201;5 februari 8:30 uur;8 februari 10:00 uur;12 t/m 16 februari
2024-0004;19 februari 8:30 uur;22 februari 10:00 uur;26  t/m 29 februari + 1 maart
2024-0005;4 maart 8:30 uur;7 maart 10:00 uur;11 t/m 15 maart 
2024-0301;4 maart 8:30 uur;7 maart 10:00 uur;11 t/m 15 maart 
2024-0006;18 maart 8:30 uur;21 maart 10:00 uur;25 t/m 29 maart
2024-0007;8 april 8:30 uur;11 april 10:00 uur;15 t/m 19 april
2024-0401;8 april 8:30 uur;11 april 10:00 uur;15 t/m 19 april
2024-0008;22 april 8:30 uur;25 april 10:00 uur;29 t/m 30 april + 1 t/m 3 mei
2024-0009;6 mei 8:30 uur;8 mei 10:00 uur;13 t/m 17 mei 
2024-0501;6 mei 8:30 uur;8 mei 10:00 uur;13 t/m 17 mei 
2024-0010;20 mei 8:30 uur;23 mei 10:00 uur;27 t/m 31 mei
2024-0011;3 juni 8:30 uur;6 juni 10:00 uur;10 t/m 14 juni
2024-0601;3 juni 8:30 uur;6 juni 10:00 uur;10 t/m 14 juni
2024-0012;17 juni 8:30 uur;20 juni 10:00 uur;24 t/m 28 juni
2024-0701;1 juli 8:30 uur;4 juli 10:00 uur;8 t/m 12 juli
2024-0013;1 juli 8:30 uur;4 juli 10:00 uur;8 t/m 12 juli
2024-0014;15 juli 8:30 uur;19 juli 10:00 uur;22 t/m 26 juli
2024-0801;5 augustus 8:30 uur;9 augustus 10:00 uur;12 t/m 16 augustus
2024-0015;5 augustus 8:30 uur;9 augustus 10:00 uur;12 t/m 16 augustus
2024-0016;19 augustus 8:30 uur;23 augustus 10:00 uur;26 t/m 30 augustus
2024-0901;2 september 8:30 uur;6 september 10:00 uur;9 t/m 13 september
2024-0017;2 september 8:30 uur;6 september 10:00 uur;9 t/m 13 september
2024-0018;16 september 8:30 uu;20 september 10:00 uu;23 t/m 27 september
2024-1001;7 oktober 8:30 uur;11 oktober 10:00 uur;14 t/m 18 oktober
2024-0019;7 oktober 8:30 uur;11 oktober 10:00 uur;14 t/m 18 oktober
2024-0020;21 oktober 8:30 uur;25 oktober 10:00 uur;28 oktober t/m 1 november
2024-1101;4 november 8:30 uur;8 november 10:00 uur;11 t/m 15 november
2024-0021;4 november 8:30 uur;8 november 10:00 uur;11 t/m 15 november
2024-0022;18 november 8:30 uur;22 november 10:00 uur;25 t/m 29 november
2024-1201;2 december 8:30 uur;6 december 10:00 uur;9 t/m 13 december
2024-0023;2 december 8:30 uur;6 december 10:00 uur;9 t/m 13 december
2024-0024;16 december 8:30 uur;20 december 10:00 uur;23 december t/m 27 december
