;DataType;Description;Name;GroupName_0;GroupName_1;GroupName_2;nhtsa_abbreviation;values_url
1;string;<p>This field stores any other battery information that does not belong to any of the other battery related fields.</p>;Other Battery Info;Mechanical;Battery;;BatteryInfo;
2;lookup;<p>Battery type field stores the battery chemistry type for anode, cathode.</p>;Battery Type;Mechanical;Battery;;BatteryType;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/2?format=json
3;lookup;<p>Bed type is the type of bed (the open back) used for pickup trucks. The common values are standard, short, long, extended.</p>;Bed Type;Exterior;Truck;;BedType;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/3?format=json
4;lookup;<p>Cab type applies to both pickup truck and other medium- and heavy-duty trucks. The cab or cabin of a truck is the inside space in a truck where the driver is seated. For pickup trucks, the cab type is categorized by the combination number of doors and number of rows for seating. For medium- and heavy-duty trucks (MDHD), the cab type is categorized by the relative location of engine and cab.</p><p>For pickup trucks, there are four cab types.</p><ul><li>Regular: 2 door, 1 row of seats</li><li>Extra/Super/Quad/Double/King/Extended: 2 doors, 2 rows of seats</li><li>Crew/Super Crew/Crew Max: 4 doors, 2 rows of seats</li><li>Mega: 4 doors, 2 rows of seats (with a bigger cabin than crew cab type)</li></ul><p>For medium- and heavy-duty (MDHD) trucks, there are several categories as listed below.</p><ul><li>Cab Beside Engine</li><li>CAE: Cab Above Engine</li><li>CBE: Cab Behind Engine</li><li>COE: Cab Over Engine or Flat Nose: Driver sits on top of the front axle and engine</li><li>LCF: Low Cab Forward</li><li>Conventional: Driver sits behind the engine</li><li>Non-Tilt</li><li>Tilt</li></ul>;Cab Type;Exterior;Truck;;BodyCabType;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/4?format=json
5;lookup;"<p>Body Class presents the body type based on 49 CFR 565.12(b): ""Body type means the general configuration or shape of a vehicle distinguished by such characteristics as the number of doors or windows, cargo-carrying features and the roofline (e.g., sedan, fastback, hatchback)."" Definitions are not provided for individual body types in the regulation.</p>";Body Class;Exterior;Body;;BodyClass;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/5?format=json
9;int;<p>This is a numerical field to store the number of cylinders in an engine. Common values for passenger cars are 4 or 6.</p>;Engine Number of Cylinders;Engine;;;EngineCylinders;
10;lookup;<p>Destination Market is the market where the vehicle is intended to be sold.</p>;Destination Market;General;;;DestinationMarket;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/10?format=json
11;decimal;<p>Engine displacement (in cubic centimeters) is the volume swept by all the pistons inside the cylinders of a reciprocating engine in a single movement from top dead center to bottom dead center.</p>;Displacement (CC);Engine;;;DisplacementCC;
12;decimal;<p>Engine displacement (in cubic inches) is the volume swept by all the pistons inside the cylinders of a reciprocating engine in a single movement from top dead center to bottom dead center.</p>;Displacement (CI);Engine;;;DisplacementCI;
13;decimal;<p>Engine displacement (in liters) is the volume swept by all the pistons inside the cylinders of a reciprocating engine in a single movement from top dead center to bottom dead center.</p>;Displacement (L);Engine;;;DisplacementL;
